numberOfPixels;numberOfThreads;kindOfAlgorithm;language;time
8960000,00;1,00;dubois;python;28,16
8960000,00;1,00;dubois;asm;0,729
8960000,00;1,00;photoshop;python;23,39
8960000,00;1,00;photoshop;asm;0,512
8960000,00;4,00;dubois;python;17,4
8960000,00;4,00;dubois;asm;0,376
8960000,00;4,00;photoshop;python;14,112
8960000,00;4,00;photoshop;asm;0,394
8960000,00;8,00;dubois;python;17,295
8960000,00;8,00;dubois;asm;0,433
8960000,00;8,00;photoshop;python;13,975
8960000,00;8,00;photoshop;asm;0,377
8960000,00;16,00;dubois;python;16,961
8960000,00;16,00;dubois;asm;0,505
8960000,00;16,00;photoshop;python;13,774
8960000,00;16,00;photoshop;asm;0,494
8960000,00;32,00;dubois;python;16,644
8960000,00;32,00;dubois;asm;0,66
8960000,00;32,00;photoshop;python;13,73
8960000,00;32,00;photoshop;asm;0,658
8960000,00;64,00;dubois;python;16,402
8960000,00;64,00;dubois;asm;0,945
8960000,00;64,00;photoshop;python;13,073
8960000,00;64,00;photoshop;asm;0,972
2240000,00;1,00;dubois;python;6,937
2240000,00;1,00;dubois;asm;0,215
2240000,00;1,00;photoshop;python;5,562
2240000,00;1,00;photoshop;asm;0,158
2240000,00;4,00;dubois;python;4,289
2240000,00;4,00;dubois;asm;0,139
2240000,00;4,00;photoshop;python;3,487
2240000,00;4,00;photoshop;asm;0,123
2240000,00;8,00;dubois;python;4,146
2240000,00;8,00;dubois;asm;0,165
2240000,00;8,00;photoshop;python;3,375
2240000,00;8,00;photoshop;asm;0,146
2240000,00;16,00;dubois;python;4,133
2240000,00;16,00;dubois;asm;0,201
2240000,00;16,00;photoshop;python;3,333
2240000,00;16,00;photoshop;asm;0,193
2240000,00;32,00;dubois;python;4,031
2240000,00;32,00;dubois;asm;0,314
2240000,00;32,00;photoshop;python;3,178
2240000,00;32,00;photoshop;asm;0,297
2240000,00;64,00;dubois;python;4,045
2240000,00;64,00;dubois;asm;0,522
2240000,00;64,00;photoshop;python;3,363
2240000,00;64,00;photoshop;asm;0,53
560000,00;1,00;dubois;python;1,7
560000,00;1,00;dubois;asm;0,075
560000,00;1,00;photoshop;python;1,387
560000,00;1,00;photoshop;asm;0,059
560000,00;4,00;dubois;python;1,076
560000,00;4,00;dubois;asm;0,064
560000,00;4,00;photoshop;python;0,845
560000,00;4,00;photoshop;asm;0,062
560000,00;8,00;dubois;python;1,029
560000,00;8,00;dubois;asm;0,093
560000,00;8,00;photoshop;python;0,816
560000,00;8,00;photoshop;asm;0,077
560000,00;16,00;dubois;python;1,039
560000,00;16,00;dubois;asm;0,128
560000,00;16,00;photoshop;python;0,848
560000,00;16,00;photoshop;asm;0,115
560000,00;32,00;dubois;python;1,168
560000,00;32,00;dubois;asm;0,199
560000,00;32,00;photoshop;python;0,901
560000,00;32,00;photoshop;asm;0,198
560000,00;64,00;dubois;python;1,242
560000,00;64,00;dubois;asm;0,369
560000,00;64,00;photoshop;python;1,058
560000,00;64,00;photoshop;asm;0,393
